sex,age,race,c_charge_degree,c_charge_desc,juv_fel_count,juv_misd_count,juv_other_count,priors_count,is_recid,r_charge_degree,r_charge_desc,is_violent_recid,vr_charge_degree,vr_charge_desc,two_year_recid,dob_year,event_date_day,event_date_month,event_date_year
Male,62,Caucasian,F,other,0,0,0,0,0,NA,NA,0,NA,NA,0,1953,5,1,2013
Male,28,African-American,M,violence,0,0,0,1,0,NA,NA,0,NA,NA,0,1987,2,4,2013
Female,37,Other,M,violence,0,0,0,0,0,NA,NA,0,NA,NA,0,1978,7,12,2013
Male,23,African-American,F,drugs,0,0,0,4,1,F2,drugs,0,NA,NA,1,1993,11,11,2013
Male,26,Caucasian,F,drugs,0,0,0,2,0,NA,NA,0,NA,NA,0,1989,25,3,2013
Male,56,African-American,F,other,0,0,0,0,0,NA,NA,0,NA,NA,0,1959,26,3,2013
Male,30,Caucasian,F,drugs,0,0,0,2,0,NA,NA,0,NA,NA,0,1985,6,2,2013
Female,35,Hispanic,F,robbery,0,0,0,0,0,NA,NA,0,NA,NA,0,1980,19,3,2014
Male,41,Caucasian,F,violence,0,0,0,2,0,NA,NA,0,NA,NA,0,1975,11,2,2014
Male,34,Caucasian,F,violence,0,0,0,16,1,M1,other,0,NA,NA,1,1982,11,1,2014
Female,52,African-American,F,drugs,0,0,0,2,1,M2,robbery,0,NA,NA,1,1963,2,11,2013
Male,22,African-American,F,other,0,0,1,3,0,NA,NA,0,NA,NA,0,1994,4,4,2013
Male,27,African-American,F,drugs,0,0,0,21,1,F1,drugs,0,NA,NA,1,1989,12,12,2014
Male,27,African-American,F,other,0,0,1,13,1,M1,drugs,0,NA,NA,1,1988,19,9,2013
Male,42,African-American,F,traffic,0,0,0,0,0,NA,NA,0,NA,NA,0,1973,19,12,2013
Male,33,African-American,M,other,0,0,0,4,1,F3,drugs,0,NA,NA,1,1982,5,8,2013
Male,21,Caucasian,F,other,0,0,0,1,0,NA,NA,0,NA,NA,0,1994,8,9,2013
Male,48,Caucasian,M,other,0,0,0,1,0,NA,NA,0,NA,NA,0,1968,1,4,2013
Male,28,Caucasian,M,other,0,0,0,0,1,M1,violence,0,NA,NA,1,1988,18,12,2014
Male,22,African-American,F,robbery,0,0,0,0,0,NA,NA,0,NA,NA,0,1993,20,3,2014
Male,29,Caucasian,F,traffic,0,0,0,5,0,NA,NA,0,NA,NA,0,1987,26,10,2013
Male,25,African-American,M,other,0,0,0,0,0,NA,NA,0,NA,NA,0,1990,28,5,2013
Male,30,Hispanic,F,violence,0,1,0,14,1,M1,other,1,F3,violence,1,1985,23,3,2013
Male,30,African-American,F,other,0,0,0,1,1,F3,other,0,NA,NA,0,1985,20,5,2010
Male,69,Caucasian,F,traffic,0,0,0,0,0,NA,NA,0,NA,NA,0,1946,18,1,2013
Male,30,Hispanic,M,violence,0,0,0,3,1,F3,robbery,0,NA,NA,1,1985,30,12,2014
Male,47,African-American,F,traffic,0,0,0,22,1,F3,traffic,0,NA,NA,1,1968,28,10,2013
Male,32,African-American,F,traffic,0,0,0,14,1,M2,traffic,0,NA,NA,1,1983,4,11,2014
Male,25,Caucasian,M,other,0,0,1,5,1,M1,other,1,F3,violence,1,1990,6,11,2013
